region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Baden-Wurttemberg,2021-02-03,,estimate,984.5,997.8,209,681,856,932.6,1035.4,1121,1363.1
Baden-Wurttemberg,2021-02-04,,estimate,1288.5,1306.3,267.1,911.9,1117.8,1217,1353,1470,1776.1
Baden-Wurttemberg,2021-02-05,,estimate,1164.5,1184.1,245.6,820.9,1008,1107,1228,1336.2,1601
Baden-Wurttemberg,2021-02-06,,estimate,1060.5,1077.7,226.3,735,920,1007.6,1117,1222.2,1471
Baden-Wurttemberg,2021-02-07,,estimate,927,942.4,198.5,645,806,881,976,1062.2,1294.1
Baden-Wurttemberg,2021-02-08,,estimate,445,451,93.6,308,385,421,465.4,507.2,614
Baden-Wurttemberg,2021-02-09,,estimate,337,343.2,73.2,233,291,319.6,357,389,474
Baden-Wurttemberg,2021-02-10,,estimate,929,937.7,185.7,658,805,875,976.4,1059,1249
Baden-Wurttemberg,2021-02-11,,estimate,1171.5,1185.8,237.5,821,1023,1110,1232,1336,1594.2
Baden-Wurttemberg,2021-02-12,,estimate,1043,1062.9,215.7,736.9,913.8,993,1096.4,1195,1445
Baden-Wurttemberg,2021-02-13,,estimate,939,955.7,195.2,660,815,891,992.4,1084,1304.1
Baden-Wurttemberg,2021-02-14,,estimate,817,828.8,171,577,710.8,773,860,933,1134
Baden-Wurttemberg,2021-02-15,,estimate,394,399.4,83.8,275,339,374,416,451,544
Baden-Wurttemberg,2021-02-16,,estimate,300,305.7,65.8,208,261,284,317,345,423
Baden-Wurttemberg,2021-02-17,,estimate,834,844.8,176.4,578,719,791,878,956.5,1151.1
Baden-Wurttemberg,2021-02-18,,estimate,1056,1075.1,221.3,740,917,1004.6,1113,1211,1466
Baden-Wurttemberg,2021-02-19,,estimate,963.5,982.1,199.5,692,843,919,1014.4,1104,1341
Baden-Wurttemberg,2021-02-20,,estimate,900.5,915.4,190,640.9,777,856,949,1032,1252
Baden-Wurttemberg,2021-02-21,,estimate,793,805.3,167.4,549,687,752,835,909,1102
Baden-Wurttemberg,2021-02-22,,estimate,389,396.4,83.7,273,338,368,409,447,549
Baden-Wurttemberg,2021-02-23,,estimate,306,308.3,62,212,266,290,320,345,418
Baden-Wurttemberg,2021-02-24,,estimate,856,870.3,182,611,741.8,817,897,974,1205.1
Baden-Wurttemberg,2021-02-25,,estimate,1111,1137.5,232.1,792,979,1056.6,1174.4,1276,1559
Baden-Wurttemberg,2021-02-26,,estimate,1049,1065,217.4,738,909,994.6,1104,1203.2,1442
Baden-Wurttemberg,2021-02-27,,estimate,981,994,204.2,682.9,854.8,933,1029,1118.2,1358.1
Baden-Wurttemberg,2021-02-28,,estimate,886,901,181.3,631,771,843.6,935,1015.2,1219.1
Baden-Wurttemberg,2021-03-01,,estimate,447.5,451.6,93.7,307,387,425,468,510,614
Baden-Wurttemberg,2021-03-02,,estimate,354,359.3,76.6,242,306,336,373,406,495
Baden-Wurttemberg,2021-03-03,,estimate,1007,1026.8,210.2,717.9,878.8,957,1059,1156,1402
Baden-Wurttemberg,2021-03-04,,estimate,1341,1358.4,279.7,937,1164.8,1275,1408.4,1532.2,1827
Baden-Wurttemberg,2021-03-05,,estimate,1260,1277.8,259.2,889,1099,1192,1329,1433,1723.1
Baden-Wurttemberg,2021-03-06,,estimate,1182.5,1207.6,247.4,844.7,1042.5,1125,1242,1359,1633
Baden-Wurttemberg,2021-03-07,,estimate,1097,1110.8,224.1,774.8,951,1039,1146,1262,1502
Baden-Wurttemberg,2021-03-08,,estimate,546.5,556.7,114.7,386,477,519,574,630,759
Baden-Wurttemberg,2021-03-09,,estimate,441,448.9,93.7,314,382,418,465,503,613
Baden-Wurttemberg,2021-03-10,,estimate,1257,1283.3,265.6,893,1089.8,1191,1332,1456.2,1747.5
Baden-Wurttemberg,2021-03-11,,estimate,1715.5,1735.2,345.3,1198.9,1495.8,1635,1797,1951.2,2331.2
Baden-Wurttemberg,2021-03-12,,estimate,1597.5,1623.8,325.9,1138.7,1392,1515.6,1679,1833.2,2200.2
Baden-Wurttemberg,2021-03-13,,estimate,1540.5,1554,318.9,1055,1323,1463,1622,1758,2101.1
Baden-Wurttemberg,2021-03-14,,estimate,1402.5,1425.9,288.9,986,1224,1341,1477,1604,1935.1
Baden-Wurttemberg,2021-03-15,,estimate,711,719,144.3,498.9,620,672,744,807,966
Baden-Wurttemberg,2021-03-16,,estimate,563,571.3,120.5,392,484,535,592.4,648.2,786
Baden-Wurttemberg,2021-03-17,,estimate,1651,1669.7,330.1,1159,1438.8,1572,1726.4,1871,2261.1
Baden-Wurttemberg,2021-03-18,,estimate,2180.5,2214.7,470.4,1508,1886,2071,2301.4,2511.5,3034.1
Baden-Wurttemberg,2021-03-19,,estimate,2055,2084.5,418.7,1471,1789.5,1949,2155,2348,2814.1
Baden-Wurttemberg,2021-03-20,,estimate,1945,1965.6,400.5,1354,1674.8,1840,2038,2215.2,2697
Baden-Wurttemberg,2021-03-21,,estimate,1785.5,1805.1,367.5,1252,1546.5,1700.2,1876,2029,2462.2
Baden-Wurttemberg,2021-03-22,,estimate,881,896.7,190.8,615,764,837,933,1012,1231.2
Baden-Wurttemberg,2021-03-23,,estimate,699,712.1,145.3,493,611,667,736,803,966
Baden-Wurttemberg,2021-03-24,,estimate,2004,2029.2,408.8,1415.9,1746.5,1897.6,2095,2279,2717
Baden-Wurttemberg,2021-03-25,,estimate,2633,2652.9,533.9,1835.9,2281,2485.2,2764,3006,3557
Baden-Wurttemberg,2021-03-26,,estimate,2445.5,2469.6,505.8,1723.9,2103,2308.2,2564,2775.5,3334.2
Baden-Wurttemberg,2021-03-27,,estimate,2287.5,2325.4,477.5,1609.9,1991,2174.6,2401.4,2609.5,3190.1
Baden-Wurttemberg,2021-03-28,,estimate,2064,2091.7,423.3,1462,1780.8,1953.6,2169.4,2359,2836.1
Baden-Wurttemberg,2021-03-29,,estimate,1015,1031.8,210.6,714,887,966,1068.4,1158.2,1413
Baden-Wurttemberg,2021-03-30,,estimate,799,811.9,163.8,569,699,759.6,835.4,909,1099.1
Baden-Wurttemberg,2021-03-31,,estimate,2258.5,2285,466.4,1579.8,1957,2145.6,2366,2571,3074.1
Baden-Wurttemberg,2021-04-01,,estimate,2912,2961.5,598.1,2062,2552.8,2761,3053.8,3327,4013
Baden-Wurttemberg,2021-04-02,,estimate,2710.5,2742.9,550.3,1882,2362,2577,2854.8,3095,3678.3
Baden-Wurttemberg,2021-04-03,,estimate,2536,2567.6,501.9,1817.8,2215.8,2422.6,2666,2880.5,3424.1
Baden-Wurttemberg,2021-04-04,,estimate,2241,2285.2,466.9,1605.9,1972,2136.6,2362,2566.2,3094.1
Baden-Wurttemberg,2021-04-05,,estimate,1099,1115.4,230.4,771,957,1039,1152.4,1255.2,1545
Baden-Wurttemberg,2021-04-06,,estimate,874,884,184.6,602.9,746.8,824.6,922,1004,1193
Baden-Wurttemberg,2021-04-07,,estimate,2459,2503.6,514.2,1721.8,2142,2332,2589,2818.2,3415.1
Baden-Wurttemberg,2021-04-08,,estimate,3254,3290.5,660.4,2309,2835.5,3088.6,3412.8,3683.5,4435.2
Baden-Wurttemberg,2021-04-09,,estimate,3001.5,3038.8,615.4,2088.9,2608.8,2851,3166,3421,4124
Baden-Wurttemberg,2021-04-10,,estimate,2817.5,2864.6,571.2,1976.9,2478,2680,2961,3221.2,3855.1
Baden-Wurttemberg,2021-04-11,,estimate,2521.5,2556.5,509.5,1768,2197.8,2398,2647.4,2882.8,3454.1
Baden-Wurttemberg,2021-04-12,,estimate,1253,1273.4,262.9,879.9,1092.8,1193,1318,1432.2,1727.1
Baden-Wurttemberg,2021-04-13,,estimate,998,1012.6,212.3,698.9,863.8,947.6,1051,1132,1395
Baden-Wurttemberg,2021-04-14,,estimate,2833,2876.5,572.2,2022.9,2463.8,2706.6,2975,3220,3910
Baden-Wurttemberg,2021-04-15,,estimate,3737,3781.4,724.7,2643,3277,3551.2,3930,4246.5,5066.4
Baden-Wurttemberg,2021-04-16,,estimate,3468.5,3541.4,722,2443.9,3033.5,3295,3659.4,4004.2,4846.5
Baden-Wurttemberg,2021-04-17,,estimate based on partial data,3331.5,3375.6,695.9,2331.9,2880.8,3161,3504.8,3786,4641.2
Baden-Wurttemberg,2021-04-18,,estimate based on partial data,3028,3063.8,630.8,2099.8,2627.8,2865,3166,3438,4188.2
Baden-Wurttemberg,2021-04-19,,estimate based on partial data,1492,1514.6,307.4,1050,1300,1416,1574.4,1701.5,2053.1
Baden-Wurttemberg,2021-04-20,,estimate based on partial data,1195,1213.7,249.3,839,1035.8,1138.6,1258,1362,1662.1
Baden-Wurttemberg,2021-04-21,,estimate based on partial data,3353.5,3424.6,684,2411.9,2942,3184.6,3554,3867.8,4601
Baden-Wurttemberg,2021-04-22,,estimate based on partial data,4493,4567.4,930.1,3190.8,3900.8,4255,4743.4,5137.2,6205.2
Baden-Wurttemberg,2021-04-23,,estimate based on partial data,4183,4259.3,887.2,2935.9,3638,3967.6,4423.8,4782.2,5814.5
Baden-Wurttemberg,2021-04-24,,estimate based on partial data,3988.5,4035.3,845.7,2793.5,3433,3771,4186,4567.5,5450.2
Baden-Wurttemberg,2021-04-25,,estimate based on partial data,3610.5,3679.6,778.4,2539.8,3134,3418,3801.8,4159.2,5067.4
Baden-Wurttemberg,2021-04-26,,estimate based on partial data,1815.5,1844.8,395.9,1235,1565.8,1718,1916,2088.2,2555.1
Baden-Wurttemberg,2021-04-27,,estimate based on partial data,1447.5,1479.8,322.5,996,1259.8,1374,1525.8,1678.2,2042.1
Baden-Wurttemberg,2021-04-28,,forecast,4127,4239.2,1003.6,2784.9,3557,3906.2,4361,4826,5989.3
Baden-Wurttemberg,2021-04-29,,forecast,5553,5664.9,1363.1,3685,4702,5218.6,5906.2,6485.2,8097.2
Baden-Wurttemberg,2021-04-30,,forecast,5163.5,5316.2,1380.7,3384.6,4350,4849.6,5518.6,6075.5,7817.6
Baden-Wurttemberg,2021-05-01,,forecast,4843.5,5030.4,1415.2,3061.8,4070.2,4541.2,5203.4,5793,7620.4
Baden-Wurttemberg,2021-05-02,,forecast,4420,4609,1361.9,2791.8,3653.8,4133.2,4747.6,5321.5,7075.1
Baden-Wurttemberg,2021-05-03,,forecast,2228.5,2329.9,750.3,1312.9,1827.8,2081.6,2400.4,2718.2,3650.1
Baden-Wurttemberg,2021-05-04,,forecast,1770.5,1874.6,643.6,1045.7,1435.8,1642,1930.4,2190.8,3010.1
Baden-Wurttemberg,2021-05-05,,forecast,5087.5,5447.2,2115,2887.8,4032.8,4635.6,5562.6,6386.2,9173.4
Baden-Wurttemberg,2021-05-06,,forecast,6682.5,7273.9,3291,3641.1,5195.2,6128.6,7336.6,8524.2,12289.8
Baden-Wurttemberg,2021-05-07,,forecast,6308,6925,3211.3,3354.5,4848.5,5697.6,6987.4,8305.2,12197.5
Baden-Wurttemberg,2021-05-08,,forecast,5997.5,6680.5,3615.2,2947.8,4538.5,5369,6704.6,7896.2,12439
Baden-Wurttemberg,2021-05-09,,forecast,5469,6052.6,3350.9,2508,4061.5,4831.6,5972.6,7172,11315.3
Baden-Wurttemberg,2021-05-10,,forecast,2711.5,3054.8,1843.7,1246.9,1974,2375.6,3015.2,3654.8,6055.2
Baden-Wurttemberg,2021-05-11,,forecast,2151,2449.2,1599.4,955,1558.8,1888.6,2396,2917.2,4843.4
Baden-Wurttemberg,2021-05-12,,forecast,6081.5,7207.8,5162.2,2584.9,4315,5418.2,6815.4,8609.8,14794.3
Baden-Wurttemberg,2021-05-13,,forecast,8083,9592.8,7273.7,3240,5591.8,7056,9205.4,11440.2,20927.9
Baden-Wurttemberg,2021-05-14,,forecast,7475.5,9091.5,7430.6,2937,5136.5,6629.6,8511.4,10640.5,19579.6
Baden-Wurttemberg,2021-05-15,,forecast,6895,8611.4,6699.7,2641.6,4802.2,6067,8100.8,10457.5,18902.6
Baden-Wurttemberg,2021-05-16,,forecast,6373,7970.2,6718.3,2238,4305,5487.8,7423,9548.8,17784.3
Baden-Wurttemberg,2021-05-17,,forecast,3153.5,3973.7,3660.3,1069,2128.8,2659.6,3691.8,4727.5,9124.2
Baden-Wurttemberg,2021-05-18,,forecast,2499,3177.5,2791.1,839,1661.8,2155.2,2950.4,3836.5,7067.6
Baden-Wurttemberg,2021-05-19,,forecast,7189,9254.9,8561.1,2338.8,4503.8,6094.4,8525.6,11116.5,22245.1
Baden-Wurttemberg,2021-05-20,,forecast,9372.5,12157.8,11522.4,2853.8,5797.8,7919,11012.4,14710.8,29445.2
Baden-Wurttemberg,2021-05-21,,forecast,8626.5,11454.2,10693.4,2500.7,5368,7211.2,10273.2,13720.2,29379.5
Baden-Wurttemberg,2021-05-22,,forecast,8153.5,10901.2,10528.5,2284,4985.5,6859.4,9761,13161.5,27788.4
Baden-Wurttemberg,2021-05-23,,forecast,7287,9846.7,9437.1,1937.9,4353,5956.2,8948.4,12039,24930.2
Baden-Wurttemberg,2021-05-24,,forecast,3579.5,4950.4,5018.1,936,2196,2994.6,4332,5960.2,13012.7
Baden-Wurttemberg,2021-05-25,,forecast,2790,3822.4,3695.4,715.9,1704.8,2371.6,3429.4,4651,10088.9
Baden-Wurttemberg,2021-05-26,,forecast,8069.5,11025.4,10603.7,1940.4,4744,6674.4,9648.4,13554.2,30469.6
Bavaria,2021-02-03,,estimate,1349,1364.9,254.3,981,1194,1282.6,1413,1521.2,1809
Bavaria,2021-02-04,,estimate,1945,1962.7,359.4,1416.9,1710,1849,2029,2196.2,2574.2
Bavaria,2021-02-05,,estimate,1706,1732.4,320.5,1235,1520,1628.6,1784.4,1932,2309
Bavaria,2021-02-06,,estimate,1475,1494.5,273.6,1089,1299,1411,1540.4,1673,1979.1
Bavaria,2021-02-07,,estimate,1158,1168,216.8,836,1022,1108,1208,1300.2,1549
Bavaria,2021-02-08,,estimate,849.5,857.5,159.8,613,746,810,888,957,1126
Bavaria,2021-02-09,,estimate,522,528,101.5,373,457,497,548,592,706
Bavaria,2021-02-10,,estimate,1238,1252.3,225.7,904.9,1093,1187,1301,1395,1646
Bavaria,2021-02-11,,estimate,1739,1762.8,316.3,1290,1538,1661,1813,1955.5,2329.1
Bavaria,2021-02-12,,estimate,1529,1541.7,274,1123.9,1353.8,1456,1596,1721.5,2009.2
Bavaria,2021-02-13,,estimate,1315,1333.8,242.3,970,1160,1256.6,1378,1488.2,1766.1
Bavaria,2021-02-14,,estimate,1017,1031.7,192.3,743,897,972,1066.4,1152,1379.1
Bavaria,2021-02-15,,estimate,762,771.7,138.3,555.9,672.8,730,801,858,1014
Bavaria,2021-02-16,,estimate,478,481.5,90.3,340,417,455,498,538,637
Bavaria,2021-02-17,,estimate,1117.5,1128.6,208.3,810,981,1065.6,1178,1257,1487.1
Bavaria,2021-02-18,,estimate,1607,1627.6,291.1,1195.9,1421.8,1534.6,1674,1808,2128.1
Bavaria,2021-02-19,,estimate,1434.5,1452,262.3,1053,1270.8,1370.6,1504.4,1614,1911.1
Bavaria,2021-02-20,,estimate,1263,1279,237,909,1113,1201.6,1326.4,1426,1701
Bavaria,2021-02-21,,estimate,999,1011.4,178,735,887,959,1046.4,1125,1311.1
Bavaria,2021-02-22,,estimate,758,768.9,139.2,562,672,722,794,858,1013
Bavaria,2021-02-23,,estimate,486,492.2,93,350,427,465,509,548,652.1
Bavaria,2021-02-24,,estimate,1165,1179.3,215.2,853,1029,1113,1225,1315,1567
Bavaria,2021-02-25,,estimate,1701,1727,316.9,1261.8,1506,1625.6,1772.4,1927,2289
Bavaria,2021-02-26,,estimate,1569.5,1577.3,281.5,1148.9,1374,1490.6,1633.4,1750,2072.1
Bavaria,2021-02-27,,estimate,1397,1412.9,253.5,1026,1239,1332,1456,1568,1873
Bavaria,2021-02-28,,estimate,1121,1135.9,205.8,813.9,998.8,1073.6,1169.4,1267,1486
Bavaria,2021-03-01,,estimate,861,872.9,161.7,628,764,822,905.4,970,1158
Bavaria,2021-03-02,,estimate,554,561.3,99.1,410,490,531,578,623,732
Bavaria,2021-03-03,,estimate,1359.5,1370.2,251,988,1198,1293,1418.4,1531,1805.1
Bavaria,2021-03-04,,estimate,2008,2026.1,362.4,1476.9,1770.5,1918,2092,2254.5,2660.1
Bavaria,2021-03-05,,estimate,1843,1860.4,343.6,1336.8,1614,1757.6,1934.4,2074.2,2465.1
Bavaria,2021-03-06,,estimate,1646,1664.2,294.4,1221.8,1455,1568.6,1723,1854.2,2173.1
Bavaria,2021-03-07,,estimate,1347,1363,240.1,1002,1199,1295,1406,1514,1766.2
Bavaria,2021-03-08,,estimate,1053,1056.7,191.9,752.8,924.8,1002,1095.4,1176,1378.1
Bavaria,2021-03-09,,estimate,668,678.3,123.5,488.9,595,641,701,754.2,896
Bavaria,2021-03-10,,estimate,1648,1665.9,289.5,1223,1469.8,1579,1722.4,1847.2,2175.1
Bavaria,2021-03-11,,estimate,2438.5,2470.5,452.9,1793,2161,2320,2546.4,2745,3272.2
Bavaria,2021-03-12,,estimate,2254,2277.4,411.5,1633,2001,2157,2361,2545.5,2984.1
Bavaria,2021-03-13,,estimate,2029,2056.6,380.6,1470.9,1795,1943,2134.4,2296.2,2705
Bavaria,2021-03-14,,estimate,1660,1672.9,302.3,1206,1459.8,1586,1735,1864.2,2171.3
Bavaria,2021-03-15,,estimate,1279.5,1291.5,230.5,933,1130,1220,1337,1440.2,1698
Bavaria,2021-03-16,,estimate,818,829.7,150.8,599.9,729,784,860,923.2,1096
Bavaria,2021-03-17,,estimate,2036,2058,369.9,1504,1796,1934.6,2138,2298.2,2688.1
Bavaria,2021-03-18,,estimate,2991.5,3030.3,551.4,2195.7,2625,2857.6,3132,3383,3976.6
Bavaria,2021-03-19,,estimate,2771,2795.2,488.1,2027,2456,2652.6,2894.4,3108.2,3638.1
Bavaria,2021-03-20,,estimate,2460,2495.7,445.9,1828.8,2181.8,2361.2,2577,2760.2,3333
Bavaria,2021-03-21,,estimate,1997,2017.3,365.4,1461.7,1759,1914,2079.4,2246,2644.1
Bavaria,2021-03-22,,estimate,1541,1559.2,280.6,1119,1361.5,1476,1614.2,1745.2,2027
Bavaria,2021-03-23,,estimate,984.5,998.4,184.9,720,873.8,941,1030,1114.2,1317
Bavaria,2021-03-24,,estimate,2386,2422.5,450.8,1734,2124.8,2288,2500.4,2687,3217.2
Bavaria,2021-03-25,,estimate,3547,3585.6,661.2,2565,3119,3376.6,3700.4,4001,4751.1
Bavaria,2021-03-26,,estimate,3211.5,3240.9,569.4,2347.8,2843,3082,3356.4,3607,4216
Bavaria,2021-03-27,,estimate,2858,2876.6,509.4,2081.9,2528.8,2721,2979.4,3205.2,3777
Bavaria,2021-03-28,,estimate,2265,2298.6,404.6,1704,2014.8,2167,2368.4,2558.2,3016.1
Bavaria,2021-03-29,,estimate,1750,1773.5,318.3,1294.9,1551.8,1674,1823.4,1973.2,2343.1
Bavaria,2021-03-30,,estimate,1109,1119.6,196.2,820,985,1064,1154.4,1240.2,1458.1
Bavaria,2021-03-31,,estimate,2657,2695.6,468.1,1987,2372,2546.6,2782.8,2988.2,3531.3
Bavaria,2021-04-01,,estimate,3916.5,3960.4,705,2907,3471.8,3741,4084,4394,5198.1
Bavaria,2021-04-02,,estimate,3554,3598.4,650.7,2651.7,3132,3374.2,3725.4,4008,4738
Bavaria,2021-04-03,,estimate,3133,3180.8,579.8,2307.5,2780,2999,3263,3546,4189.1
Bavaria,2021-04-04,,estimate,2528,2555.4,460.7,1835.6,2226.8,2422,2639,2852,3354.2
Bavaria,2021-04-05,,estimate,1927,1958.6,352.5,1433.9,1717.5,1846,2012.4,2179.2,2567.1
Bavaria,2021-04-06,,estimate,1236,1247.6,230.8,896,1081,1173,1293,1388,1669
Bavaria,2021-04-07,,estimate,2973,3017.9,545.6,2220.6,2648.8,2847.6,3112.8,3333.2,3927.2
Bavaria,2021-04-08,,estimate,4405,4476.4,791.6,3269.8,3916.5,4226.6,4623.4,4980.2,5836.4
Bavaria,2021-04-09,,estimate,4065.5,4098.9,729.3,2973.4,3599.8,3888,4238,4579.8,5362.1
Bavaria,2021-04-10,,estimate,3582.5,3620.7,650.4,2638.9,3176.8,3419.8,3753.4,4010,4763
Bavaria,2021-04-11,,estimate,2889,2919,526.4,2119.8,2549.8,2764,3012,3246,3873.2
Bavaria,2021-04-12,,estimate,2222,2253,402.1,1636,1974,2133.6,2327.4,2508.2,2959.1
Bavaria,2021-04-13,,estimate,1414,1427.6,251.1,1048.9,1244,1353,1481.4,1583,1872
Bavaria,2021-04-14,,estimate,3431.5,3457.8,613.2,2511.9,3026.5,3279.6,3582,3842.2,4496.1
Bavaria,2021-04-15,,estimate,5028,5062.3,912.5,3617.1,4436,4810.6,5239,5637,6606
Bavaria,2021-04-16,,estimate,4531,4578.8,815.9,3302.9,4020,4325,4742.4,5087.2,6006.6
Bavaria,2021-04-17,,estimate based on partial data,3984,4031.7,744.1,2900.9,3510.8,3802.6,4179.4,4498.2,5345
Bavaria,2021-04-18,,estimate based on partial data,3181,3225,599.1,2323,2815.8,3022.6,3332,3597,4249.3
Bavaria,2021-04-19,,estimate based on partial data,2406,2441,443.4,1766,2130.8,2314.6,2526.4,2722,3205
Bavaria,2021-04-20,,estimate based on partial data,1512,1531.2,282.1,1107,1332,1445,1585.4,1710,2009
Bavaria,2021-04-21,,estimate based on partial data,3596,3637.9,664.3,2633.9,3168.8,3428,3779.4,4072.5,4754.2
Bavaria,2021-04-22,,estimate based on partial data,5189.5,5236.9,971.2,3784,4557.8,4944.8,5395.4,5820.5,6966.7
Bavaria,2021-04-23,,estimate based on partial data,4547.5,4616.2,822,3380.9,4051.8,4361,4761.8,5122,6054
Bavaria,2021-04-24,,estimate based on partial data,3954,4017.3,753.7,2873,3494,3778,4163,4488.8,5305.8
Bavaria,2021-04-25,,estimate based on partial data,3082.5,3121.1,579.8,2233,2715.5,2950.4,3214,3461.2,4136.1
Bavaria,2021-04-26,,estimate based on partial data,2277.5,2323.3,437.8,1673.8,2016,2185,2394,2592,3106.1
Bavaria,2021-04-27,,estimate based on partial data,1415,1437.1,292.7,1003.9,1229.8,1339.6,1485,1615.2,1954
Bavaria,2021-04-28,,forecast,3297,3365.4,728.2,2294,2864.2,3124.6,3475.4,3775.2,4661.6
Bavaria,2021-04-29,,forecast,4664.5,4740.3,1082.1,3122,3980.5,4389,4923.2,5414.8,6577.1
Bavaria,2021-04-30,,forecast,4102,4195.9,1015.7,2726,3486.5,3870.6,4349.8,4782,6095
Bavaria,2021-05-01,,forecast,3524,3609.4,959.1,2207.9,2941,3281.6,3745.4,4202.5,5271.2
Bavaria,2021-05-02,,forecast,2678.5,2778.2,775.7,1680,2220,2516.6,2881.8,3254,4178.1
Bavaria,2021-05-03,,forecast,2004,2068.9,659.9,1160.8,1622.5,1844.6,2142,2435.5,3208.6
Bavaria,2021-05-04,,forecast,1234,1279.6,438.4,687,956,1122.2,1334,1525.2,2064.1
Bavaria,2021-05-05,,forecast,2852.5,2977.4,1113.2,1505,2201.8,2609,3111.4,3540,4904.5
Bavaria,2021-05-06,,forecast,4017,4253.5,1720.6,1979,3080,3647.2,4453.2,5195.2,7204.7
Bavaria,2021-05-07,,forecast,3543.5,3751,1660.7,1591.7,2612.2,3168.6,3922.4,4604.5,6544.4
Bavaria,2021-05-08,,forecast,3023.5,3222.6,1514.3,1286.9,2197.2,2694.6,3362,3997.2,5652.6
Bavaria,2021-05-09,,forecast,2337,2505.2,1238.9,967.9,1648.2,2062.2,2616.2,3115.2,4613.3
Bavaria,2021-05-10,,forecast,1747.5,1869.3,1032.3,653.8,1183.5,1509.6,1952,2326.5,3524
Bavaria,2021-05-11,,forecast,1052,1155.8,681.6,379.9,710.8,924,1206,1455,2243.2
Bavaria,2021-05-12,,forecast,2449.5,2700.8,1732.3,818,1607.2,2117.6,2786.4,3372.2,5519
Bavaria,2021-05-13,,forecast,3508.5,3891.2,2721.8,1113.8,2219,2935.8,4059.8,4902.8,8025.2
Bavaria,2021-05-14,,forecast,3034,3477.8,2471.2,899.9,1939.8,2606.6,3533.8,4483,7254
Bavaria,2021-05-15,,forecast,2593.5,2969.7,2161.4,719.8,1549.5,2180.8,3062.8,3801,6442
Bavaria,2021-05-16,,forecast,2009,2300.5,1783.4,503.8,1166.5,1696.8,2316.4,2958.8,5047.1
Bavaria,2021-05-17,,forecast,1449.5,1743.2,1540.8,357.9,863.8,1219,1729,2240,3973.4
Bavaria,2021-05-18,,forecast,902.5,1074.2,993.1,198.8,511,739,1059,1390.2,2488.3
Bavaria,2021-05-19,,forecast,2077,2570,2785.5,440,1169.5,1715.4,2506.4,3337.2,6074.7
Bavaria,2021-05-20,,forecast,2983,3676.4,3593.5,562.9,1614,2392.6,3545.6,4804.2,8717.7
Bavaria,2021-05-21,,forecast,2581,3250.9,3627.8,457.9,1380,2091,3111.2,4286,8001.4
Bavaria,2021-05-22,,forecast,2224,2792.2,3003.8,383,1142.5,1715.4,2650.4,3612.2,6907.4
Bavaria,2021-05-23,,forecast,1679,2202.5,2416,263.8,841.8,1357.4,2080.4,2902.5,5562.1
Bavaria,2021-05-24,,forecast,1229.5,1657,2004.2,188.9,627.8,978.2,1519.6,2114,4240
Bavaria,2021-05-25,,forecast,751.5,1025.8,1325.3,108,369.8,591,949,1316.8,2579.4
Bavaria,2021-05-26,,forecast,1775.5,2452.5,3145.1,225.9,816.8,1366,2233,3116,6400.5
Berlin,2021-02-03,,estimate,300,313.3,101.9,172,243,277,328,367.2,494
Berlin,2021-02-04,,estimate,436,454.9,149.6,249,347,402,474,545,726
Berlin,2021-02-05,,estimate,422,443.6,143.8,232,343,392,467,532,705.1
Berlin,2021-02-06,,estimate,410,428.6,140.8,232,327,378,448,510,691.1
Berlin,2021-02-07,,estimate,254,263.6,87.3,138,201,233,276,316,420
Berlin,2021-02-08,,estimate,116,121.9,41.8,64,93,108,127,146,196
Berlin,2021-02-09,,estimate,218,227.7,74.7,124,175,200,237.4,271,365
Berlin,2021-02-10,,estimate,314,325.9,106.1,175,250,288,342,386,519
Berlin,2021-02-11,,estimate,443,459.4,145.8,250.9,355,412,480,548.2,727
Berlin,2021-02-12,,estimate,430,445.5,144,240.9,345,396,463,533,693.1
Berlin,2021-02-13,,estimate,399,416.8,132.7,230.9,320,369,432,501,649.1
Berlin,2021-02-14,,estimate,247,257.8,83.3,140,196,226,268,308.2,411
Berlin,2021-02-15,,estimate,114,118.8,39.3,64,91,105,124,143,190
Berlin,2021-02-16,,estimate,210,220.3,74.2,119,169,193,227,262,351.1
Berlin,2021-02-17,,estimate,300,313.8,103.1,169,240,276,330,377,497
Berlin,2021-02-18,,estimate,424,445.4,146.5,241,342.8,393,463.4,526.2,700
Berlin,2021-02-19,,estimate,414,430.6,138.6,235.9,334,382,448,514,683
Berlin,2021-02-20,,estimate,396,413.1,133.2,225,322.8,368,427.4,487,644.2
Berlin,2021-02-21,,estimate,246,257.3,83.2,139,198.8,227,269,306,408
Berlin,2021-02-22,,estimate,114,118.9,39.7,63,91,105,124,142,190
Berlin,2021-02-23,,estimate,216,225.7,73,121,174,201,234,269,362
Berlin,2021-02-24,,estimate,311,322.1,104.3,172.9,249,287,337,383.2,513
Berlin,2021-02-25,,estimate,448,462,147.6,257,353,414,480,549,725.2
Berlin,2021-02-26,,estimate,430,448,143.1,249,347,396,466,534,706
Berlin,2021-02-27,,estimate,424,436.5,141.4,236,336,388,458,519.2,686
Berlin,2021-02-28,,estimate,265,276.1,89.9,146.9,210,245,289,328,441
Berlin,2021-03-01,,estimate,125,130.1,43.2,69,99,114,136,154.2,212
Berlin,2021-03-02,,estimate,239,248.5,80.9,137,192,221,260,294,397
Berlin,2021-03-03,,estimate,342,355.7,118.2,190,272,316,368,421,572
