date,location,location_name,value
2020-02-04,GM,Germany,0
2020-02-04,GM02,Free State of Bavaria,0
2020-02-05,GM,Germany,0
2020-02-05,GM02,Free State of Bavaria,0
2020-02-06,GM,Germany,0
2020-02-06,GM02,Free State of Bavaria,0
2020-02-07,GM,Germany,0
2020-02-07,GM02,Free State of Bavaria,0
2020-02-08,GM,Germany,0
2020-02-08,GM02,Free State of Bavaria,0
2020-02-09,GM,Germany,0
2020-02-09,GM02,Free State of Bavaria,0
2020-02-10,GM,Germany,0
2020-02-10,GM02,Free State of Bavaria,0
2020-02-11,GM,Germany,0
2020-02-11,GM02,Free State of Bavaria,0
2020-02-12,GM,Germany,2
2020-02-12,GM02,Free State of Bavaria,2
2020-02-13,GM,Germany,2
2020-02-13,GM02,Free State of Bavaria,2
2020-02-14,GM,Germany,2
2020-02-14,GM02,Free State of Bavaria,2
2020-02-15,GM,Germany,2
2020-02-15,GM02,Free State of Bavaria,2
2020-02-16,GM,Germany,2
2020-02-16,GM02,Free State of Bavaria,2
2020-02-17,GM,Germany,2
2020-02-17,GM02,Free State of Bavaria,2
2020-02-18,GM,Germany,2
2020-02-18,GM02,Free State of Bavaria,2
2020-02-19,GM,Germany,2
2020-02-19,GM02,Free State of Bavaria,2
2020-02-20,GM,Germany,2
2020-02-20,GM02,Free State of Bavaria,2
2020-02-21,GM,Germany,2
2020-02-21,GM02,Free State of Bavaria,2
2020-02-22,GM,Germany,2
2020-02-22,GM02,Free State of Bavaria,2
2020-02-23,GM,Germany,2
2020-02-23,GM02,Free State of Bavaria,2
2020-02-24,GM,Germany,2
2020-02-24,GM01,Baden-Württemberg State,0
2020-02-24,GM02,Free State of Bavaria,2
2020-02-24,GM03,Free Hanseatic City of Bremen,0
2020-02-24,GM04,Free Hanseatic City of Hamburg,0
2020-02-24,GM05,Hesse State,0
2020-02-24,GM06,Lower Saxony State,0
2020-02-24,GM07,North Rhine-Westphalia State,0
2020-02-24,GM08,Rhineland-Palatinate State,0
2020-02-24,GM09,Saarland State,0
2020-02-24,GM10,Schleswig-Holstein State,0
2020-02-24,GM11,Brandenburg State,0
2020-02-24,GM12,Mecklenburg-Western Pomerania State,0
2020-02-24,GM13,Free State of Saxony,0
2020-02-24,GM14,Sachsen-Anhalt State,0
2020-02-24,GM15,Free State of Thüringia,0
2020-02-24,GM16,Berlin State,0
2020-02-25,GM,Germany,4
2020-02-25,GM01,Baden-Württemberg State,1
2020-02-25,GM02,Free State of Bavaria,2
2020-02-25,GM03,Free Hanseatic City of Bremen,0
